set horizon := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 ;

set datasets := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 ;

set weatherBins := 0 1 2 3 4 5 6 7 8 ;

param energyDemand := 
7 8 43.700000 
7 9 44.700000 
7 10 52.600000 
7 11 58.700000 
7 12 64.100000 
7 13 68.500000 
7 14 71.200000 
7 15 72.900000 
7 16 73.000000 
7 17 72.300000 
7 18 70.900000 
7 19 66.500000 
7 20 62.000000 
7 21 58.700000 
7 22 56.100000 
7 23 54.500000 
8 0 52.500000 
8 1 50.500000 
8 2 49.500000 
8 3 48.300000 
8 4 46.700000 
8 5 43.900000 
8 6 43.300000 
8 7 43.100000 
8 8 42.100000 
8 9 42.200000 
8 10 46.600000 
8 11 51.500000 
8 12 55.900000 
8 13 58.700000 
8 14 61.500000 
8 15 63.000000 
8 16 64.400000 
8 17 65.600000 
8 18 65.300000 
8 19 60.300000 
8 20 54.900000 
8 21 52.600000 
8 22 52.900000 
8 23 51.400000 
9 0 51.000000 
9 1 50.200000 
9 2 50.300000 
9 3 50.400000 
9 4 50.100000 
9 5 48.200000 
9 6 45.900000 
9 7 45.300000 
9 8 44.600000 
9 9 45.400000 
9 10 52.100000 
9 11 60.200000 
9 12 65.500000 
9 13 69.900000 
9 14 72.800000 
9 15 75.000000 
9 16 75.700000 
9 17 76.500000 
9 18 75.800000 
9 19 72.500000 
9 20 66.700000 
9 21 62.200000 
9 22 62.400000 
9 23 61.500000 
10 0 61.100000 
10 1 61.000000 
10 2 60.600000 
10 3 59.900000 
10 4 58.600000 
10 5 56.800000 
10 6 56.200000 
10 7 55.000000 
10 8 54.100000 
10 9 53.400000 
10 10 59.900000 
10 11 66.600000 
10 12 71.500000 
10 13 74.600000 
10 14 77.500000 
10 15 79.300000 
10 16 79.200000 
10 17 80.100000 
10 18 78.700000 
10 19 75.100000 
10 20 71.300000 
10 21 69.100000 
10 22 68.700000 
10 23 68.100000 
11 0 66.800000 
11 1 65.400000 
11 2 64.600000 
11 3 63.600000 
11 4 62.300000 
11 5 61.700000 
11 6 61.200000 
11 7 60.800000 
11 8 61.200000 
11 9 62.800000 
11 10 64.800000 
11 11 67.100000 
11 12 70.200000 
11 13 74.700000 
11 14 76.800000 
