set horizon := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 ;

set datasets := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 ;

set weatherBins := 0 ;

param energyDemand := 
0 7 18.300000 
0 8 18.500000 
0 9 21.700000 
0 10 25.100000 
0 11 27.700000 
0 12 29.100000 
0 13 30.300000 
0 14 31.200000 
0 15 31.800000 
0 16 31.900000 
0 17 31.700000 
0 18 30.500000 
0 19 27.300000 
0 20 25.600000 
0 21 24.200000 
0 22 22.900000 
0 23 22.000000 
1 0 21.400000 
1 1 21.000000 
1 2 20.100000 
1 3 19.400000 
1 4 19.000000 
1 5 18.700000 
1 6 18.000000 
1 7 17.600000 
1 8 18.400000 
1 9 20.600000 
1 10 24.000000 
1 11 26.900000 
1 12 28.300000 
1 13 29.400000 
1 14 30.400000 
1 15 31.200000 
1 16 31.300000 
1 17 30.900000 
1 18 29.900000 
1 19 27.700000 
1 20 25.600000 
1 21 24.500000 
1 22 23.900000 
1 23 23.000000 
2 0 22.100000 
2 1 22.200000 
2 2 21.400000 
2 3 21.100000 
2 4 20.600000 
2 5 20.500000 
2 6 21.000000 
2 7 21.900000 
2 8 22.600000 
2 9 24.000000 
2 10 25.500000 
2 11 28.200000 
2 12 30.100000 
2 13 31.700000 
2 14 32.000000 
2 15 33.100000 
2 16 32.800000 
2 17 32.500000 
2 18 31.100000 
2 19 29.800000 
2 20 28.200000 
2 21 27.400000 
2 22 27.000000 
2 23 27.000000 
3 0 24.700000 
3 1 20.600000 
3 2 17.900000 
3 3 18.200000 
3 4 18.100000 
3 5 18.000000 
3 6 17.300000 
3 7 16.900000 
3 8 17.400000 
3 9 19.400000 
3 10 21.300000 
3 11 22.700000 
3 12 24.000000 
3 13 25.300000 
3 14 26.400000 
3 15 27.400000 
3 16 27.900000 
3 17 28.000000 
3 18 27.400000 
3 19 24.800000 
3 20 21.800000 
3 21 20.500000 
3 22 20.300000 
3 23 20.500000 
4 0 20.300000 
4 1 20.200000 
4 2 21.000000 
4 3 21.500000 
4 4 21.500000 
4 5 21.600000 
4 6 22.000000 
4 7 21.500000 
4 8 22.200000 
4 9 23.100000 
4 10 25.200000 
4 11 26.100000 
4 12 27.800000 
4 13 28.800000 
4 14 29.400000 
4 15 29.700000 
4 16 29.800000 
4 17 29.100000 
4 18 27.600000 
4 19 26.900000 
4 20 27.000000 
4 21 26.400000 
4 22 26.500000 
4 23 26.200000 
5 0 25.700000 
5 1 25.500000 
5 2 25.500000 
5 3 25.500000 
5 4 25.300000 
5 5 25.000000 
5 6 24.800000 
